סמל_ישוב,city_name,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,total,age_0-5,age_6-18,age_19-45,age_46-55,age_56-64,age_64+
3000,ירושלים ,11,ירושלים ,11,ירושלים ,0, ,1087330,139842,270260,383311,95601,71244,127072
5000,תל אביב - יפו ,51,תל אביב ,51,"ת""א - מרכז ",0, ,588877,40128,75960,231846,73181,51340,116422
4000,חיפה ,31,חיפה ,31,חיפה ,0, ,340075,21862,51703,110854,42283,33417,79956
8300,ראשון לציון ,44,רחובות ,46,ראשון לציון ,0, ,284850,20265,46398,96450,36991,27410,57336
7900,פתח תקווה ,42,פתח תקווה ,42,פתח תקוה ,0, ,282133,23110,56771,90589,37074,23529,51060
7400,נתניה ,41,השרון ,41,נתניה ,0, ,281601,21720,50637,89178,34269,25884,59913
70,אשדוד ,61,אשקלון ,69,אשדוד ,0, ,258958,23596,51623,82724,30265,23881,46869
6100,בני ברק ,52,רמת גן ,54,בני ברק ,0, ,233064,44338,70658,75607,13648,9983,18830
9000,באר שבע ,62,באר שבע ,62,באר שבע ,0, ,229650,18870,40594,79666,25623,21524,43373
6600,חולון ,53,חולון ,53,חולון ,0, ,212479,14410,36884,65896,28104,20297,46888
8600,רמת גן ,52,רמת גן ,52,רמת גן ,0, ,186107,13729,26116,68673,22953,17115,37521
2610,בית שמש ,11,ירושלים ,13,בית שמש ,0, ,184377,37696,58299,63317,10677,6269,8119
7100,אשקלון ,61,אשקלון ,61,אשקלון ,0, ,179073,15951,33647,61639,20028,15990,31818
8400,רחובות ,44,רחובות ,44,רחובות ,0, ,165096,15202,35316,53698,20125,12292,28463
6200,בת ים ,53,חולון ,53,חולון ,0, ,160010,8419,21123,48445,21677,17445,42901
6400,הרצליה ,51,תל אביב ,57,הרצליה ,0, ,124147,9433,20583,40234,16002,10921,26974
6500,חדרה ,32,חדרה ,32,חדרה ,0, ,113802,9774,21332,38227,13475,10435,20559
6900,כפר סבא ,42,פתח תקווה ,47,כפר סבא ,0, ,111687,7533,21245,33372,15549,9375,24613
1200,מודיעין-מכבים-רעות ,43,רמלה ,43,רמלה ,0, ,108506,8267,26040,36161,16457,9530,12051
8700,רעננה ,42,פתח תקווה ,47,כפר סבא ,0, ,98465,7291,18289,30449,13143,9106,20187
7000,לוד ,43,רמלה ,43,רמלה ,0, ,95641,13019,21368,33014,9089,6626,12525
3797,מודיעין עילית ,74,ראמאללה ,11,ירושלים ,0, ,90479,18843,36762,27661,4902,1178,1133
8500,רמלה ,43,רמלה ,43,רמלה ,0, ,88100,9246,18315,31503,9456,7215,12365
7300,נצרת ,25,נצרת ,25,נוף הגליל ,0, ,82488,6820,16332,32888,9867,7595,8986
1161,רהט ,62,באר שבע ,62,באר שבע ,0, ,79626,14198,24600,31069,5431,2401,1927
2640,ראש העין ,42,פתח תקווה ,349,ראש העין ,0, ,78018,9611,17536,28530,7962,6468,7911
9100,נהריה ,24,עכו ,24,עכו ,0, ,76914,5189,12973,24916,10443,7731,15662
