city,reserve_days
תל אביב - יפו,2234864.5
ירושלים,1500925
באר שבע,779632
ראשון לציון,772179
חיפה,756949
פתח תקווה,713222
רמת גן,656107.5
מודיעין-מכבים-רעות,543480
נתניה,522719.5
רחובות,473757.5
אשדוד,459016
אשקלון,414552.5
חולון,409031
הרצליה,365160
כפר סבא,318058.5
רעננה,309697.5
חדרה,305890
ראש העין,287170
גבעתיים,276769
בת ים,233791
הוד השרון,230522.5
נהריה,215494
בית שמש,206276.5
אילת,202261.5
קרית אתא,199954.5
עפולה,190146
יבנה,187432.5
קרית גת,185985.5
.לוד,172139
פרדס חנה-כרכור,171941
נם ציונה,167346.5
שדרות,161421.5
כרמיאל,157804
מעלה אדומים,155538.5
רמלה,153974
דימונה,149333.5
שוהם,146903
גבעת שמואל,143689.5
נתיבות,143472
קרית מוצקיו,142095.5
גדרה,139565
רמת השרון,139435
קרית אונו,139349.5
קרית ביאליק,138233
קרית שמונה,132237.5
חריש,131698
טבריה,116870
אפרת,113770.5
:אריאל,112239.5
׳קנעם עילית,112162.5
אופקים,110237
זכרון יעקב,109783.5
יונה,107841
גן יבנה,107591
מבשרת ציון,106024
ים,105409
עכו       ____________,105034
קדימה-צורן,103231.5
יהוד-מונוס1|,101987
קרני שומרון,92274.5
טירת כרמל,91180
אור יהודה,91060.5
: באר יעקב,90328
נשר,88488
בנימינה-גבעת עדה,87194.5
מזכרת בתיה,83735
מגדל העמק,83598.5
צפת,80946.5
מיתר,80570.5
בית שאן,80405.5
נוף הגליל,79579.5
גני תקווה,79252.5
מעלות-תרשיחא,76977
ארבע,74940
קרית טבעו!,74878.5
שילה,74088.5
#NAME?,72420.5
תל מונד,71179
כוכב יאיר,70721.5
•רוחם,69069
כפר אדומים,67462.5
טלמון,66750
שער שומרון,64880
ערד,64693
עלי,64365
קרית מלאכי,63837.5
גבעת זאב,61334.5
אבן יהודה,61177
אורנית,60059.5
עלי זהב,59293.5
בית אל,58470.5
צור הדסה,57506.5
בני ברק,54258
קצה!__,49801
דאלית אל-כרמל,49476
אלפי מנשה,48078.5
קדומים,48050
עומר,47361.5
מגאר,47012
בת מפר,45335
אלקנה,43531.5
עתלית,43099
תקוע,42552
יקיר,42337.5
אלון שבות,41436
להבים,41315.5
שלומי,41259
רמת ישי,41045.5
עופרה,40611.5
ירכא,39919
'בית גין,39906
בית אריה,39011.5
נוקדים,38221.5
מצפה רמון,37343
גבע בנימין,36643
אלעד,36236
כפר ורדים,35448.5
ברוכין,34561
קרית עקרון,34558.5
ברכה,34284.5
חורפיש,32913.5
׳אנוח-גית,32805
אזור,32804
הצור הגלילית,32784.5
פרדסיה,31918
הר אדר,31566
סוסיה,31467
פסגות,31445
מטולה,31087.5
1הושעיה,30502
אלעזר,30470.5
רבבה,30408
כוכב השחר,30271.5
כוכב יעקב,30082.5
פדואל,29135
מתן,28810
כפר תבור,28799.5
אלון מורה,28534
צור יצחק,27932.5
אבני חפץ,27835
ביתר עילית,27537.5
נווה דניאל,27228
חשמונאים,27156
#NAME?,26399.5
צופים,26232
בית דגן,25902
גן נר,25492
גיולם,25154
קיסריה,25128
מצפה יריחו,24995.5
מעלה מכמש,24254
שמשית,24003
בני עי״ש,22991.5
ראש פינה,22952
כפר האורנים,22912
יד בנימין,22849
כסרא-סמיע,22689
מבוא חורון,22133
דולב,21726
שפרעם,21606
רחלים_______________,21539
נוף א״לו!,21311
נוה צוף,21242
איתמר,20930
חיננית,20493
חספין,19826
מרכז שפירא,19158
נעלה,19024
נופית,18449.5
פקיעין (בוק״עה),18170
יסוד המעלה,18153
ברקן,18082.5
בית הלל,18063
"ניל""׳",17586.5
שמעה,17232.5
יצהר,16979.5
לפיד,16631.5
מעלה אפרים,16567.5
אחוזת ברק,16543
בית חורון,16444
קציר,16190
מורשת,16171.5
נוב,16170
בני דקלים,15980.5
חגי,15758
סביון,15707.5
רמת מגשימים,15534
טנא,15447
אליכין,15226
נחושה,15106
עתניאל,15036.5
כפר תפוח,14949.5
םאג’ור,14936
יונתן,14834
גני מודיעין,14717
מודיעין עילית,14526
אבני איתן,14356
מעלה לבונה,14351.5
רשפים,14317
בית חשמונאי,14307.5
מעלה גלבוע,14301
ניצן,14297
ענב,14277
כרם׳ צור,14251
רם־און,14192
ראש צורים,14052.5
םירב,14038
קשת,13979
גבעת אבני,13966
נופים,13941
מדרשת בן גוריון,13894.5
סנסנה,13818
עלמון,13815
שער אפרים,13736
טירת צבי,13696
צור משה,13673.5
מבוא דותן,13585
מצפה אילן,13491.5
בית רימון,13466
שקד,13464
שבי שומרון,13403
יובל,13378
כפר עציון,13257
מצדות יהודה,13139.5
כפר מימון,13074
שדמות מתולה,13040.5
נטור,12792
כנף,12629
גבעת אלה,12580
עין הבשור,12524.5
תמרת,12451
סעד,12434
ניר גלים,12349.5
רתמים,12279.5
בת עץ,12260
מעין ברוך,12250.5
מגדלים,12235
כפר הראייה,12136
גשר הזיו,12067
אשחר,12022
סלעית,11973
עמנואל,11940
בית ׳צחק-שער חפר,11921.5
נטע,11884
מצפח נטופח_________,11873.5
חד-נם,11867
עטרת,11845
שאר ישוב,11809
אבו סנאן,11743
מעגלים,11670
מחולה,11657
יבנאל,11497.5
בני נצרים,11474
כרמי יוסף,11464
עדי,11443.5
נחלים,11439.5
אבן שמואל,11364
:שתולים,11356
מעון,11323
אילון,11303.5
נוות,11292
אפיקים,11203
גילת,11129
קרית נטפים,11070
שדה יעקב,11051
שדה אליהו,11029.5
קדמת צבי,10999
נגוהות,10944
דפנה,10899
הגושרים,10882
מגל,10747
אליאב,10735
מעלה גמלא,10728
קדר,10726.5
כפרויתקין,10680
מולדת,10657
אלוני הבשן,10623
כפר ראש הנקרה,10595
באר גנים,10567.5
נהלל,10556
ראמה,10490
כרמי קטיף,10373
מעגן מיכאל,10342
